"Date","Site","Pass","FishNo","Species","FishLength_Weight","ScaleAge","CapturedFloyTagNo","AppliedFloyTagNo","Effort"
2013-10-07,"L01",1,5,"RB","270_248",1,NA,12105,464
2013-10-07,"L01",1,7,"RB","248_173",1,NA,12107,464
2013-10-07,"L01",1,2,"RB","254_178",1,NA,12102,464
2013-10-07,"L01",1,8,"RB","235_147",1,NA,12108,464
2013-10-07,"L01",1,10,"RB","252_181",1,NA,12110,464
2013-10-07,"L01",1,6,"RB","249_191",1,NA,12106,464
2013-10-07,"L01",1,13,"CT","273_251",NA,NA,NA,464
2013-10-07,"L01",1,9,"RB","265_206",1,NA,12109,464
2013-10-07,"L01",1,1,"RB","367_547",3,NA,12101,464
2013-10-07,"L01",1,11,"RB","251_179",1,NA,12111,464
2013-10-07,"L01",1,4,"RB","238_179",1,NA,12104,464
2013-10-07,"L01",1,12,"RBH","337_432",NA,NA,NA,464
2013-10-07,"L01",1,3,"RB","256_207",1,NA,12103,464
2013-10-11,"L01",2,3,"RB","257_211",1,NA,12289,496
2013-10-11,"L01",2,5,"RB","391_723",3,NA,12291,496
2013-10-11,"L01",2,4,"RB","377_587",3,NA,12290,496
2013-10-11,"L01",2,6,"RB","252_175",1,12102,NA,496
2013-10-11,"L01",2,7,"RB","345_479",3,NA,12292,496
2013-10-11,"L01",2,1,"RB","341_476",3,NA,12287,496
2013-10-11,"L01",2,2,"RB","237_167",1,NA,12288,496
2013-10-11,"L01",2,8,"RB","250_198",1,NA,12293,496
2013-10-15,"L01",3,3,"RBH","324_401",NA,NA,NA,432
2013-10-15,"L01",3,2,"RB","228_110",1,NA,12462,432
2013-10-15,"L01",3,1,"RB","253_182",1,NA,12461,432
2013-10-23,"L01",5,1,"CT","269_248",NA,NA,NA,433
2013-10-08,"L02",1,1,"RB","213_115",1,NA,12171,632
2013-10-08,"L02",1,5,"RB","228_174",1,NA,12175,632
2013-10-08,"L02",1,15,"SMB","246_284",NA,NA,NA,632
2013-10-08,"L02",1,3,"RB","309_294",2,NA,12173,632
2013-10-08,"L02",1,10,"RB","109_14",0,NA,NA,632
2013-10-08,"L02",1,14,"SMB","261_316",NA,NA,NA,632
2013-10-08,"L02",1,9,"RB","75_5",0,NA,NA,632
2013-10-08,"L02",1,8,"RB","261_199",1,NA,12178,632
2013-10-08,"L02",1,6,"RB","225_157",1,NA,12176,632
2013-10-08,"L02",1,2,"RB","213_106",1,NA,12172,632
2013-10-08,"L02",1,11,"RB","373_549",4,10432,NA,632
2013-10-08,"L02",1,7,"RB","272_248",1,NA,12177,632
2013-10-08,"L02",1,17,"SMB","366_909",NA,NA,NA,632
2013-10-08,"L02",1,4,"RB","235_161",1,NA,12174,632
2013-10-08,"L02",1,12,"SMB","219_167",NA,NA,NA,632
2013-10-08,"L02",1,16,"SMB","263_317",NA,NA,NA,632
2013-10-08,"L02",1,13,"SMB","268_311",NA,NA,NA,632
2013-10-12,"L02",2,7,"RB","255_174",1,NA,12372,596
2013-10-12,"L02",2,5,"RB","269_209",1,NA,12370,596
2013-10-12,"L02",2,2,"RB","357_547",3,NA,12368,596
2013-10-12,"L02",2,3,"RBH","323_358",NA,NA,NA,596
2013-10-12,"L02",2,4,"RB","400_627",4,NA,12369,596
2013-10-12,"L02",2,6,"RB","209_124",1,NA,12371,596
2013-10-12,"L02",2,1,"RB","222_146",1,12176,NA,596
2013-10-12,"L02",2,8,"SMB","245_248",NA,NA,NA,596
2013-10-16,"L02",3,1,"RB","357_448",2,11182,NA,574
2013-10-16,"L02",3,4,"RB","269_185",1,12370,NA,574
2013-10-16,"L02",3,2,"RB","372_535",4,10432,NA,574
2013-10-16,"L02",3,5,"RB","230_172",1,NA,12511,574
2013-10-16,"L02",3,3,"RB","357_469",3,11455,NA,574
2013-10-16,"L02",3,6,"RB","258_202",1,NA,12512,574
2013-10-20,"L02",4,2,"RB","343_465",2,NA,12756,538
2013-10-20,"L02",4,1,"RB","391_661",4,NA,12755,538
2013-10-20,"L02",4,3,"RB","334_431",2,NA,12757,538
2013-10-24,"L02",5,7,"RB","243_161",1,NA,12840,564
2013-10-24,"L02",5,5,"RB","323_389",2,NA,12838,564
2013-10-24,"L02",5,3,"RB","321_397",2,NA,12836,564
2013-10-24,"L02",5,2,"RB","397_731",3,NA,12835,564
2013-10-24,"L02",5,6,"RB","264_221",1,NA,12839,564
2013-10-24,"L02",5,8,"RB","156_41",1,NA,NA,564
2013-10-24,"L02",5,1,"RB","353_534",3,12368,NA,564
2013-10-24,"L02",5,4,"RB","345_455",3,NA,12837,564
2013-10-08,"L03",1,1,"RB","260_201",1,NA,12179,468
2013-10-08,"L03",1,3,"RB","390_763",3,10938,NA,468
2013-10-08,"L03",1,4,"RB","354_485",3,11458,NA,468
2013-10-08,"L03",1,2,"RB","244_172",1,NA,12180,468
2013-10-24,"L03",5,1,"RB","230_152",1,NA,12841,392
2013-10-07,"L04",1,1,"RB","242_165",1,NA,12112,493
