Date,Year,Pass,Site No.,FishNo,Species ,FinLength,Weight,ScaleAge,CapturedFloyTagNo,AppliedFloyTagNo,ActiveFloyTagNo,CapturedPITTagNo,AppliedPITTagNo,ActivePITTagNo,AgeMethod
10/11/2013,2013,2,L17,1,RB,346,,6,10259,,10259,9.85121E+14,,9.85121E+14,SCA
10/18/2013,2013,0,L32,1,RB,348,441,3,10293,,10293,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L27,3,RB,383,629,3,10369,,10369,9.85121E+14,,9.85121E+14,RA
10/8/2013,2013,1,L02,11,RB,373,549,4,10432,,10432,,9.85121E+14,9.85121E+14,RA
10/16/2013,2013,3,L02,2,RB,372,535,4,10432,,10432,9.85121E+14,,9.85121E+14,RA
10/11/2013,2013,2,L05,1,RB,380,,4,10435,,10435,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L22,4,RB,381,573,3,10519,,10519,9.85121E+14,,9.85121E+14,RA
10/12/2013,2013,2,L10,2,RB,407,733,4,10647,,10647,9.85101E+14,,9.85121E+14,SCA
10/20/2013,2013,4,L15,2,RB,363,535,3,10847,,10847,9.85121E+14,,9.85121E+14,SCA
10/24/2013,2013,5,L19,1,RB,348,451,3,10854,,10854,9.85121E+14,,9.85121E+14,SCA
10/12/2013,2013,2,L26,1,RB,412,671,6,10879,,10879,9.85121E+14,,9.85121E+14,SCA
10/23/2013,2013,5,L17,1,RB,369,608,3,10911,,10911,9.85121E+14,,9.85121E+14,SCA
10/20/2013,2013,4,L22,2,RB,381,560,4,10918,,10918,9.85121E+14,,9.85121E+14,SCA
10/8/2013,2013,1,L03,3,RB,390,763,3,10938,,10938,9.85121E+14,,9.85121E+14,SCA
10/12/2013,2013,2,L11,3,RB,360,555,4,10945,,10945,9.85121E+14,,9.85121E+14,SCA
10/7/2013,2013,1,L08,6,RB,363,502,4,10993,,10993,9.85121E+14,,9.85121E+14,SCA
10/12/2013,2013,2,L15,3,RB,393,665,5,11004,,11004,9.85121E+14,,9.85121E+14,SCA
10/11/2013,2013,2,L16,5,RB,395,,5,11004,,11004,9.85121E+14,,9.85121E+14,SCA
10/12/2013,2013,2,L07,2,RB,392,730,3,11018,,11018,,9.85121E+14,9.85121E+14,RA
10/8/2013,2013,1,L10,10,RB,329,395,2,11027,,11027,,9.85121E+14,9.85121E+14,RA
10/12/2013,2013,2,L22,5,RB,362,447,2,11044,,11044,,9.85121E+14,9.85121E+14,RA
